"ListItem-c11n-8-82-3__sc-10e22w8-0","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 href","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 2","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 3","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 4","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 2","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 3","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 4","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 5","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 6","StyledPropertyCardBadge-c11n-8-82-3__sc-6gojrl-0","property-card-link href","Image-c11n-8-82-3__sc-1rtmhsc-0 src","StyledButtonIcon-c11n-8-82-3__sc-wpcbcc-1"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2837 K Ave, National City, CA 91950"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,416""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2837 K Ave"",""addressLocality"":""National City"",""addressRegion"":""CA"",""postalCode"":""91950""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.66115,""longitude"":-117.08838},""url"":""https://www.zillow.com/homedetails/2837-K-Ave-National-City-CA-91950/17100430_zpid/""}","https://www.zillow.com/homedetails/2837-K-Ave-National-City-CA-91950/17100430_zpid/","2837 K Ave, National City, CA 91950","BERKSHIRE HATHAWAY HOMESERVICE","$575,000","- Sold","2","bds","2","ba","1,416","sqft","Sold 11/20/2020","https://www.zillow.com/homedetails/2837-K-Ave-National-City-CA-91950/17100430_zpid/","https://photos.zillowstatic.com/fp/c6ff1037ef0faa7d4a814a5a3600306d-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""710 Paradise Way, National City, CA 91950"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,272""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""710 Paradise Way"",""addressLocality"":""National City"",""addressRegion"":""CA"",""postalCode"":""91950""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.685192,""longitude"":-117.07708},""url"":""https://www.zillow.com/homedetails/710-Paradise-Way-National-City-CA-91950/72149738_zpid/""}","https://www.zillow.com/homedetails/710-Paradise-Way-National-City-CA-91950/72149738_zpid/","710 Paradise Way, National City, CA 91950","REAL BROKER","$568,500","- Sold","2","bds","3","ba","1,272","sqft","Sold 02/17/2023","https://www.zillow.com/homedetails/710-Paradise-Way-National-City-CA-91950/72149738_zpid/","https://photos.zillowstatic.com/fp/974da56083904ed372262e85a242a7ee-p_e.jpg","Save this home"
"","","","","","","","","","","","","","","",""
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""1821 E Division St, National City, CA 91950"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""746""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""1821 E Division St"",""addressLocality"":""National City"",""addressRegion"":""CA"",""postalCode"":""91950""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.688316,""longitude"":-117.09016},""url"":""https://www.zillow.com/homedetails/1821-E-Division-St-National-City-CA-91950/17094672_zpid/""}","https://www.zillow.com/homedetails/1821-E-Division-St-National-City-CA-91950/17094672_zpid/","1821 E Division St, National City, CA 91950","PREMIER AGENT NETWORK","$567,000","- Sold","2","bds","1","ba","746","sqft","Sold 12/03/2021","https://www.zillow.com/homedetails/1821-E-Division-St-National-City-CA-91950/17094672_zpid/","https://photos.zillowstatic.com/fp/8b1fcf7cab4447859edda9c1c36277b3-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""320 E 18th St, National City, CA 91950"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""852""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""320 E 18th St"",""addressLocality"":""National City"",""addressRegion"":""CA"",""postalCode"":""91950""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.66804,""longitude"":-117.09974},""url"":""https://www.zillow.com/homedetails/320-E-18th-St-National-City-CA-91950/17098843_zpid/""}","https://www.zillow.com/homedetails/320-E-18th-St-National-City-CA-91950/17098843_zpid/","320 E 18th St, National City, CA 91950","","$560,000","- Sold","2","bds","1","ba","852","sqft","Sold 04/29/2022","https://www.zillow.com/homedetails/320-E-18th-St-National-City-CA-91950/17098843_zpid/","https://photos.zillowstatic.com/fp/9599b856c50df768468dd9fb93faa430-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""1022 E 21st St, National City, CA 91950"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""856""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""1022 E 21st St"",""addressLocality"":""National City"",""addressRegion"":""CA"",""postalCode"":""91950""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.6675,""longitude"":-117.09155},""url"":""https://www.zillow.com/homedetails/1022-E-21st-St-National-City-CA-91950/17099648_zpid/""}","https://www.zillow.com/homedetails/1022-E-21st-St-National-City-CA-91950/17099648_zpid/","1022 E 21st St, National City, CA 91950","E MORTGAGE HOME LOANS, INC","$560,000","- Sold","2","bds","1","ba","856","sqft","Sold 07/07/2021","https://www.zillow.com/homedetails/1022-E-21st-St-National-City-CA-91950/17099648_zpid/","https://photos.zillowstatic.com/fp/2490f5c1269f75dec87ffc4d9ea05c9a-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""1404 Coolidge Ave, National City, CA 91950"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""640""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""1404 Coolidge Ave"",""addressLocality"":""National City"",""addressRegion"":""CA"",""postalCode"":""91950""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.669537,""longitude"":-117.10822},""url"":""https://www.zillow.com/homedetails/1404-Coolidge-Ave-National-City-CA-91950/295363862_zpid/""}","https://www.zillow.com/homedetails/1404-Coolidge-Ave-National-City-CA-91950/295363862_zpid/","1404 Coolidge Ave, National City, CA 91950","CENTURY 21 AWARD","$560,000","- Sold","2","bds","1","ba","640","sqft","Sold 01/11/2022","https://www.zillow.com/homedetails/1404-Coolidge-Ave-National-City-CA-91950/295363862_zpid/","https://photos.zillowstatic.com/fp/427383ce46f84f05c0b0d4259043d901-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""1404 Coolidge St, National City, CA 91950"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""640""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""1404 Coolidge St"",""addressLocality"":""National City"",""addressRegion"":""CA"",""postalCode"":""91950""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.669518,""longitude"":-117.108215},""url"":""https://www.zillow.com/homedetails/1404-Coolidge-St-National-City-CA-91950/318294814_zpid/""}","https://www.zillow.com/homedetails/1404-Coolidge-St-National-City-CA-91950/318294814_zpid/","1404 Coolidge St, National City, CA 91950","","$560,000","- Sold","2","bds","1","ba","640","sqft","Sold 01/11/2022","https://www.zillow.com/homedetails/1404-Coolidge-St-National-City-CA-91950/318294814_zpid/","https://maps.googleapis.com/maps/api/streetview?size=575x242&location=32.669517517089844,-117.10821533203125&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=zBIrdFuRqf2LMwSiR3WQdtgY7mo=","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2326 32nd St, National City, CA 91950"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,026""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2326 32nd St"",""addressLocality"":""National City"",""addressRegion"":""CA"",""postalCode"":""91950""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.661663,""longitude"":-117.0746},""url"":""https://www.zillow.com/homedetails/2326-32nd-St-National-City-CA-91950/17100585_zpid/""}","https://www.zillow.com/homedetails/2326-32nd-St-National-City-CA-91950/17100585_zpid/","2326 32nd St, National City, CA 91950","REALTY ENTERPRISE","$557,000","- Sold","2","bds","1","ba","1,026","sqft","Sold 03/25/2021","https://www.zillow.com/homedetails/2326-32nd-St-National-City-CA-91950/17100585_zpid/","https://photos.zillowstatic.com/fp/6f4c73240b81d0a57e424b6d86e8468f-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""235 W 11th St, National City, CA 91950"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""748""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""235 W 11th St"",""addressLocality"":""National City"",""addressRegion"":""CA"",""postalCode"":""91950""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.672634,""longitude"":-117.10886},""url"":""https://www.zillow.com/homedetails/235-W-11th-St-National-City-CA-91950/17095927_zpid/""}","https://www.zillow.com/homedetails/235-W-11th-St-National-City-CA-91950/17095927_zpid/","235 W 11th St, National City, CA 91950","ACROPOLIS ENTERPRISE","$555,000","- Sold","2","bds","1","ba","748","sqft","Sold 06/07/2021","https://www.zillow.com/homedetails/235-W-11th-St-National-City-CA-91950/17095927_zpid/","https://photos.zillowstatic.com/fp/d80dd9ecf5b2ee76df462148f4e7a748-p_e.jpg","Save this home"
